This is potfit-git compiled on Nov 22 2016, 17:49:28.

Reading parameter file >> input_test.tmp << ... 
Reading parameter file >> input_test.tmp << ... done
Starting to read the potential file:
 - Potential file format 0 (analytic potentials) detected
 - Using 1 PAIR potentials to calculate forces
 - Successfully read 1 potential table(s)
Reading potential file >> morse_230616.pot << ... done
Reading the config file >> potfit_initial_230616.config << and calculating neighbor lists ...
Reading the config file >> potfit_initial_230616.config << and calculating neighbor lists ... done

Read 6 configurations (6 with forces, 0 with stresses)
with a total of 182 atoms (182 Ni (100.00%)).

Minimal Distances Matrix:
Atom	      Ni	with
Ni	2.276916	

Global energy weight: 100.000000

Starting optimization with 4 parameters.
  k	T        	  m	F          	F_opt
 45	0.066658	 11	8.179007	8.119670
 45	0.066658	 12	8.260291	8.119670
 46	0.056659	  1	8.216532	8.119670
 46	0.056659	  2	8.152342	8.119670
 46	0.056659	  3	8.413809	8.119670
 46	0.056659	  4	8.279800	8.119670
 46	0.056659	  5	8.219341	8.119670
 46	0.056659	  6	8.211774	8.119670
 46	0.056659	  7	8.198101	8.119670
 46	0.056659	  8	8.179832	8.119670
 46	0.056659	  9	8.237471	8.119573
 46	0.056659	 10	8.173674	8.119573
 46	0.056659	 11	8.262620	8.119573
 46	0.056659	 12	8.314144	8.119573
 47	0.048160	  1	8.239331	8.119573
 47	0.048160	  2	8.229992	8.119573
 47	0.048160	  3	8.192815	8.119573
 47	0.048160	  4	8.135522	8.119573
 47	0.048160	  5	8.285606	8.119573
 47	0.048160	  6	8.194091	8.119573
 47	0.048160	  7	8.191083	8.119573
 47	0.048160	  8	8.132245	8.119573
 47	0.048160	  9	8.202994	8.119573
 47	0.048160	 10	8.126465	8.119573
 47	0.048160	 11	8.152850	8.119573
 47	0.048160	 12	8.253670	8.119573
 48	0.040936	  1	8.182407	8.119573
